exp_id,n_parameters,rmse_initial,rmse_train,rmse_test,improvement_pct
1,11521,39.20856827437855,14.315985722770256,13.718744021870712,63.48760907925001
2,45569,39.743172143265035,14.029471544653816,14.007043115389369,64.69966842585995
3,52151,40.586234341673425,14.411897153296506,13.091792956944566,64.49067673544043
4,98997,39.31458448101003,14.155712315355233,13.308086282873997,63.99373794172285
5,102801,40.42734523423836,14.600498086582228,13.365174893444967,63.884598402427606
6,36301,39.41684922015254,14.971811394877104,13.92880941664675,62.016722058995754
7,42753,40.37126290986987,15.145002606439839,13.484940703857422,62.48568532460443
8,65129,39.852489611216065,14.156563196964926,13.78056957874322,64.47759390926305
9,134641,40.50221530798647,14.664071445998498,14.85366633172826,63.79439659166755
10,55693,40.12200364009487,15.859712985644622,15.908795910598917,60.47128371775622
